Tweet,unnecessary,mandatory,pharma,conspiracy,political,country,rushed,ingredients,side-effect,ineffective,religious,none
"@disclosetv @BioNTech_Group There is no such thing as a ""New Normal"". Normal is normal. And the kind of life you try to impose on humanity is definitely not normal!",0,0,0,0,0,0,0,0,0,0,0,1
I hear Hank Aaron died from the CoVid vaccine and didn't HAVE CoVid...,0,0,0,0,0,0,0,0,1,0,0,0
"@dbab1981 @annmarcos1 @TonyGoldSE @baggie_ade @JohnDav08799777 @FatEmperor Interesting that the Astra Zeneca vaccine failed to protect ANY of its subjects in the first (and only) round of animal testing, ALL subjects contracted the virus after vaccination. But they went straight to human trials anyway..",0,0,0,0,0,0,0,0,0,1,0,0
"@TimDouglasHR @coaldragon Oh Tim.. Nothing could be farther from the truth. I am so scared of where this is going.. We are being prepped for a Vaccine.. with little testing.. and a horrible agenda attached. There are cheaper ways of dealing with the problem, which have been discounted.",0,0,0,0,0,0,1,0,0,0,0,0
"@JeremyFarrar , killer vaccines . A toxic untested, Nano tec junk vaccine in 2021. Not even at gun point would I take it @BorisJohnson @MattHancock @BillGates #novaccines for a disease that you made up",1,0,0,0,0,0,1,0,1,0,0,0
"Insisting on a vaccine that many people do not NEED will make so much more PROFIT than a treatment for the 1% of people who might need one or a preventative supplement. Create a pandemic, sell the 'cure'. +99% of people will recover & build natural immunity. #Vaccine #COVID19",1,0,1,0,0,0,0,0,0,0,0,0
Pfizer bails out of India after country demands safety testing for COVID vaccine | News | LifeSite American’s Frontline Doctors are urging the Biden administration to take note of India’s decision to deny Pfizer’s application based on a lack of safety. https://t.co/sQz6K2bGXz,0,0,0,0,0,0,0,0,1,0,0,0
"When I first read the analysis of the AstraZeneca vaccines side effects it was a 52 page document it is now a 70 page document #AstraZeneca #vaccine #COVID19 the benefits do not out weigh the risks for me at all, I’ll be staying unvaccinated",1,0,0,0,0,0,0,0,1,0,0,0
@isnt_it_red @PayneBastille58 @simondolan Yep flu season is coming soon and they will say its COVID to push the figures up to push people to take the vaccine!💷💷💷💷💷💷 #justsaying,0,0,0,0,1,0,0,0,0,0,0,0
"@MobilePunch Liars, liars, liars! All the world politicians are reading from a script, orders from Klaus of WEF & Bill Gates to implement the ""Great Reset"", so as to mass vaccinate people to their DNA. A vaccine that does not protect you from Covid-19",0,0,0,0,1,0,0,0,0,1,0,0
"@Noahpinion Interesting.  As I've mentioned, before: I WILL (most likely) get vaccinated ... but not for several months after it becoming available.",0,0,0,0,0,0,1,0,0,0,0,0
@LotusOak2 @RobertKennedyJr #BBCBias & #FakeNews If you take 2 doses of the new #Oxford #Covid_19 #Vaccine it will be 70% effective. If you take 1/2 dose plus 1 dose it will be 90% effective. Maybe if we did not take it at all it will be 100% effective,0,0,0,0,0,0,0,0,0,1,0,0
"Could Trump's October surprise be the false claim of a miracle vaccine?.that eradicates the virus for everyone and will be available after the first of the year and reopens schools and the economy 100%? He's not above a short-term lie, is he? OK, that's a rhetorical question. lol",0,0,0,0,1,0,0,0,0,0,0,0
"@Pfizer_UK I think you meant to tweet... We’re leaving no stone unturned in the pursuit of massive profits from the fight against #COVID19. You don’t really think we’re doing this out of the goodness of our hearts, do you? We’re a big company with money to make!",0,0,1,0,0,0,0,0,0,0,0,0
"@Rndubois An ex Pfizer ex is warning that the candidates could destroy female fertility. If that’s the case we have a HUGE problem. We need to see plans from companies for assessing long term damage as well as for victim compensation. Also, you can’t test in kids; it’s not ethical. https://t.co/EcB4iVMYX3",0,0,0,0,0,0,0,0,1,0,0,0
@deusthengo The only way you can be safe from the covid vaccine is by getting the same one as the one in USA and not designed for Africa,0,0,0,0,0,1,0,0,0,0,0,0
@raea19191919 @FreeNewYorkNow @BriscoeCain @DenverDScott01 I believe it was his polio vaccine (could be wrong) that killed and paralyzed more then the disease hurt. Please keep in mind his hands are all over this Covid research. His rapid tests already had to be pulled by the CDC.,0,0,0,0,0,0,0,0,1,0,0,0
"Where are the double blind studies for the new COVID vaccine? Dr. Falsie said we couldn't trust HCQ without it, so must be true for the vaccine as well. https://t.co/niE3f9Rl0i",0,0,0,0,0,0,1,0,0,0,0,0
@MattHancock Flu vaccine has been known to increase risks of catching COVID19,0,0,0,0,0,0,0,0,1,0,0,0
"Why did #BorisJohnson say that vaccines were the ‘way out’ when they are still hung up on positive tests! If 19 million vulnerable folk have been vaccinated and another 5 million or so have had the virus, it’s the hospitalisation numbers we should look at surely?",0,0,0,0,0,0,0,0,0,0,0,1
Watch this to be informed of the risks of the COVID vaccine!! https://t.co/kbEjI0VpDp,0,0,0,0,0,0,0,0,1,0,0,0
@RBReich It's time to rage and against the Corrupt Vaccines and Expose the Origin of Covid 19!  https://t.co/Qu6Wzstz3O  https://t.co/xo7pGiwIPJ,0,0,0,1,0,0,0,0,0,0,0,0
@brianmlucey Google Polio vaccine and tell me you have no issue with taking an untested vaccine,0,0,0,0,0,0,1,0,0,0,0,0
@itsomsarraf Zuckerberg Gates Good friends of #Epstein #paedophile Now Pfizer vaccine is made with his collaboration too. Do you really think this vaccine can be trusted?,0,0,1,0,0,0,0,0,0,0,0,0
I DON'T CARE IF @realDonaldTrump WARP SPEEDS A VACCINE THIS IS MADNESS! Volunteer in AstraZeneca's coronavirus vaccine trial dies in Brazil https://t.co/SeZO42OWLW @MailOnline,0,0,0,0,0,0,0,0,1,0,0,0
"This is also nuts. People who had COVID need to be tested for antibodies. If they have them, they do NOT need the vaccine.",0,1,0,0,0,0,0,0,0,0,0,0
💥Stone Roses💥 Ian Brown steps down as Warrington festival headliner over Covid vaccine dispute. “My Saturday night headline show at NHBD Weekender Festival will now not happen! I refuse to accept vaccination proof as condition of entry.” - https://t.co/NMsprOo6Md,0,1,0,0,0,0,0,0,0,0,0,0
@Telegraph @oliviakingia Nobody should be masking or 'testing children' for #covid unless very ill. They have 0.00005% risk from it. Concentrate on getting the vulnerable & high risk 'vaccinated' (2Doses). +99% of people recover & build natural immunity. 'Cases' data is propaganda. #NoMasksInClassor,1,0,0,0,0,0,0,0,0,0,0,0
@itComebackSZN @Vlad2d71828 @chrissaccoccia1 Look at the photo I posted from the vaccine suppliers? The government have been juicing up the covid death figures with the 30 day rule - meaning death totals from flu and pneumonia have collapsed. Yet they are trying to blame vax deaths on anything else! https://t.co/VSIjgYKgDt,0,0,0,0,0,0,0,0,1,0,0,0
"@R_Good_Fellow @EKatholik @KOMBUCHABABY The COVID vaccine is mass euthanasia. Even if you feel no effects days, weeks , months after vaccine, it is at work destroying your body at the level DNA where it may takes years for some ""rare"" disease or cancer to surface. Think about this when you are bedridden and in pain.",0,0,0,0,0,0,0,0,1,0,0,0
FDA reportedly will issue warning on Johnson & Johnson vaccine about rare autoimmune disorder https://t.co/RBmZdPunoa https://t.co/EVeiOHFf6E,0,0,0,0,0,0,0,0,1,0,0,0
Pfizer calls on governments to avoid export restrictions disrupting Covid-19 vaccine supply https://t.co/TMHfTeGPS6 Of course Pfizer want no restrictions. All they're concerned about is THE MONEY. They're not in the business to make people healthy. Healthy people don't need drugs,0,0,1,0,0,0,0,0,0,0,0,0
@LockdownNo @NicolaSturgeon I won’t be complying with that. 100%. There may never be treatment or a vaccine. It’s utterly soul destroying.,0,0,0,0,0,0,0,0,0,1,0,0
@6fortyfive @JoyceMcMaga @jordylancaster Why is he being allowed to monopolize the covid vaccine landscape? You can't tell me he is the only one interested. And why is he so freaking interested?,0,0,1,0,0,0,0,0,0,0,0,0
"Any idea on why you're seeing CNN ""disparage"" Pfizer like this? Because it's true? No. They want the profits boosters bring. So, CNN will now smear Pfizer to give Pfizer what it wants. Bigger profits. https://t.co/NGHl3290BK",0,0,1,0,0,0,0,0,0,0,0,0
Pfizer pays to play and has paid highest fines for its political misdeeds yet its vaccines do more harm even increased risk of SIDS as listed in the package insert. #profitoverpeople,0,0,1,0,0,0,0,0,1,0,0,0
"It’s been about 40 years of Research... No Vaccine for HIV About 100 years of Research... No Vaccine for Cancer Research on top of Research... No Vaccine for a common Cold 🚨And now you telling me, in less than a year they got a Vaccine for COVID-19 🤔",0,0,0,0,0,0,1,0,0,0,0,0
Please remember that @BorisJohnson Got the 1st 6 month extension for his Covid-19 powers (more to come) so he can continue to Vax the UK. The vaccine is only released under his emergency powers so stop them and the jab has to stop until fully tested & 2023 is the earliest 🤡💉,0,0,0,0,0,0,1,0,0,0,0,0
"@JoeBlob20 Pls Investigate Killing a person’s ability for Spirituality Covid-related vaccines attack God gene VMAT2 Removing empathy https://t.co/PXugnYsv2d 3 terrifying videos. That this is considered by Defence, Neuro Scientists, Govts is beyond the Nazi Regime. https://t.co/5o2wudFnlf",0,0,0,0,0,0,0,0,1,0,0,0
"Oxford already claimed the vaccine is a 100% failure rate with a 100% infection rate when tested on monkeys, so why are they pushing it? To see how many will obey their masters and take their deadly poison like other vaccines https://t.co/Bz6UP7uZnL",0,0,0,0,0,0,0,0,1,1,0,0
Drinking the Kool-Aid https://t.co/fwid23iIRy Experimental Covid-19 Vaccines Given to Hundreds of Thousands of Chinese @caixin https://t.co/1v0x09OiBE Year of the Virus https://t.co/v6ec8tSxiL,0,0,0,0,0,0,1,0,0,0,0,0
"'Safe & Effective' 👀 ""7 people died in the UK... ...from blood clots after getting AstraZeneca's COVID-19 vaccine."" https://t.co/y4zNtydR9B",0,0,0,0,0,0,0,0,1,0,0,0
The story of AstraZeneka vaccine has cancelled my vaccination plans Am not ready to turn in to a zombie,0,0,0,0,0,0,0,0,1,0,0,0
"My body is just great the way it is. Hope people stop taking this ""vaccine"". 'Moderna’s Top Scientist On MRNA Technology In COVID Shots: ‘We Are Actually Hacking The Software Of Life’ https://t.co/jIwlTpPdra",1,0,0,0,0,0,0,0,0,0,0,0
"The UK approved the AstraZeneca candidate, in spite of the fact that no one even knows its actual efficacy level and the risk of autoimmune neurological damage remains unclear.",0,0,0,0,0,0,0,0,0,1,0,0
"Health authorities in Denmark, Norway and Iceland have suspended the use of AstraZeneca's COVID-19 vaccine after blood clots formed in some people who had been vaccinated. Italy also banned nationwide use of a batch of the vaccine due to “serious adverse events”",0,0,0,0,0,0,0,0,1,0,0,0
READ THIS THREAD! 👇🏼👇🏼👇🏼 Full of medical professionals who won’t be having the Pfizer vaccine! 👏🏼,0,0,0,0,0,0,0,0,0,0,0,1
"Hate to say it, but I'm not taking a US-created vaccine for Covid. Not with Trump in charge. It will be invented by some company owned by Jared and made by a company owned by Ivanka.   When a normal country approves a vaccine, then I'll take that vaccine.",0,0,0,0,1,1,0,0,0,0,0,0
Shocking news! Woman tests positive a week after receiving Pfizer COVID-19 vaccine https://t.co/iprXl7Sqr4,0,0,0,0,0,0,0,0,1,0,0,0
Ontario reports 1st fatal case of rare blood clot from AstraZeneca COVID-19 vaccine | FULL https://t.co/78Args1VQ5,0,0,0,0,0,0,0,0,1,0,0,0
"@JNJNews @JanssenGlobal No one needs a vaccine for COVID-19.  98.8% survival rate.  Same as the common flu. Common flu has a ""vaccine"" that does nothing but give you the flu and make companies, like yours,  more $$$.",1,0,1,0,0,0,0,0,0,0,0,0
Too many issues already with the Pfizer one Just keep taking at least 5000 IU of vitamin D,1,0,0,0,0,0,0,0,0,0,0,0
"you really need to research Pfizer, they are one of the most unethical pharmaceutical companies there is. They conducted an illegal trial of meningitis antibiotics in africa resulting in deaths of several kids. They also have set the record for the largest health care fraud",0,0,0,0,0,0,0,0,1,0,0,0
@UNoeMqhele @MoHCCZim @WHO_Zimbabwe @DiakoniaAfrica @usembassyharare I will rather use umsuzwane than take a Chinese vaccine coz Chinese are not honest about the origins of the virus,1,0,0,0,0,1,0,0,0,0,0,0
"So, Pfizer vaccine is based off a computer generated virus, not an isolated virus. WTH",0,0,0,0,0,0,0,1,0,0,0,0
@carvillshill @john_mcguirk Notwithstanding the disgusting coercion attempt - a person who has already had COVID & possesses antibody immunity has no medical reason to take the vaccine. It’s not sound medical advice whatsoever.,1,1,0,0,0,0,0,0,0,0,0,0
Geraldo Rivera can go to hell with his vaccine passports,0,1,0,0,0,0,0,0,0,0,0,0
Why would you give your 12 yr old a vaccine against a virus that 98% chance they wont even catch it. Never mind get ill from it? Isnt that like prescribing oxycodone for a hangnail?,1,0,0,0,0,0,0,0,0,0,0,0
"@ImtiazMadmood Johnson & Johnson, which bribed doctors to prescribe psychotropic drugs for unauthorised use, claims it has developed a vaccine, too. Follow the money.",0,0,1,0,0,0,0,0,0,0,0,0
@WSJ Pfizer brings out a covid vaccine just after a presidential election. How convenient.,0,0,0,0,1,0,0,0,0,0,0,0
🚨 YOU CANNOT FAST TRACK A VACC. THIS IS DANGEROUS! Vaccine experts say Moderna's Covid-19 data leave big questions https://t.co/e4sGiBBLJk,0,0,0,0,0,0,1,0,0,0,0,0
@BorisJohnson So what about the people who have special needs and they have a fit because of the vaccine and they not fell well what happens then and sid of facts,0,0,0,0,0,0,0,0,1,0,0,0
"@RossjournoClark @Telegraph Anybody looking to 'persuade' young people to take a rushed vaccine for something they don't require protection from, simply to satisfy their own personal paranoia clearly has some very serious mental issues!",1,0,0,0,0,0,1,0,0,0,0,0
"California halts injections of Moderna Covid vaccine batch due to ‘higher-than-usual number of adverse events’ https://t.co/uGf2bZk9Hl The mNRA Covid-19 Vaccines are showing very negative irreversible side effects and worst case, even death not yet identified!!!",0,0,0,0,0,0,0,0,1,0,0,0
"When you want to lower the population by using vaccines. Create a problem like “Corona Virus” and use your media to promote your propaganda with acting scenes and there will be a reaction, people will be in panic, then offer them the solution “vaccine” that will make them safe. https://t.co/2KMbDms2xv",0,0,0,1,0,0,0,0,0,0,0,0
@BradBeauregardJ There is no evidence that the vaccine provides protection for anyone else but the person who gets it. Stay home.,0,0,0,0,0,0,0,0,0,1,0,0
"Johnson & Johnson vaccine linked to 28 cases of blood clots, CDC reports https://t.co/una8tA6sQD",0,0,0,0,0,0,0,0,1,0,0,0
23 elderly people die after receiving 1st doses of #Pfizer vaccine in Norway! #CovidVaccine #CoronaVaccine https://t.co/13mgC8oCUW,0,0,0,0,0,0,0,0,1,0,0,0
The COVID Vaccine is ready with '90% effectiveness' finally announced through bioNTech and Pfizer on 9/11 right on cue after The U.S. s'Election.' What's that? You want to remove 90% of The Population? And alter the Human DNA with Robotic Nanotech for those whom remain?,0,0,0,1,0,0,0,0,1,0,0,0
Just a gentle reminder that a covid-19 vaccine will not prevent you from getting it. That’s why you gotta get a flu shot every year and still end up getting the flu.,0,0,0,0,0,0,0,0,0,1,0,0
"@johnnyc79349078 @hildabast @abledoc Agree I think the viral vectors vaccines are not working with Covid , JNJ had too an adverse effect dangerous that we never knew what was about it , this pharma hide everything about that case and they have the same kind of vax that AZN !",0,0,1,0,0,0,0,0,0,1,0,0
"@AndrewF45894618 I will be cautious about western Covid vaccines, one from China or Russia are off the table for me, unless screened by western scientists.",0,0,0,0,0,1,0,0,0,0,0,0
"Fighting Stigma: Ireland medical chief says use of AstraZeneca Covid vaccine should be suspended: Use of the AstraZeneca Covid-19 vaccine should be temporarily suspended, Ireland's deputy chief medical officer Dr Ronan Glynn said. Serious blood ... https://t.co/6VHgp3iPgu",0,0,0,0,0,0,0,0,1,0,0,0
"What in the world is happening to this rushed vaccine that the medical world has never seen before? ""4 volunteers develop FACIAL PARALYSIS after taking Pfizer Covid-19 jab, prompting FDA to recommend ‘surveillance for cases’"" https://t.co/O2vhBPpUum",0,0,0,0,0,0,1,0,1,0,0,0
"Trump had his eye on a different vaccine which he hoped would be the first out of the gate. It's moving forward, but wasn't as fast as Pfizer. Trump's appointed drug czar holds 10 million in shares in this other vaccine, BTW, That would be why Trump preferred it.",0,0,0,0,1,0,0,0,0,0,0,0
@MollyBeck Hey look! Another vaccine I refuse to take!,0,0,0,0,0,0,0,0,0,0,0,1
"@PFlat2 @SputnikInt Yeah Mike, he along with thousands of others. Wouldn't YOU defend your 'safe' vaccine if you were making billions off it too?",0,0,1,0,0,0,0,0,0,0,0,0
2 people die in Japan after receiving Moderna Covid-19 shots from batch that was withdrawn due to foreign material in some vials. Vaccines from the possibly contaminated lots had been sent to 863 vaccination sites across Japan. https://t.co/7QBKsmO7Oc,0,0,0,0,0,0,0,0,1,0,0,0
Knowing they put RNA in the corona vaccine. Are you going to take the vaccine,0,0,0,0,0,0,0,1,0,0,0,0
"@RichWillett2 Who is going to pay for serious adverse reactions? Some people will have them, no matter how safe the vaccine can be.",0,0,0,0,0,0,0,0,1,0,0,0
@21WIRE There's already 6 Confirmed Deaths directly linked to Pfizer vaccine.,0,0,0,0,0,0,0,0,1,0,0,0
"New post (Woman who suffered convulsions after taking Pfizer Covid jab being screened for permanent neurological damage, son tells RT) has been published on https://t.co/RaBjl5DDcP - https://t.co/FS1RhV9rAu https://t.co/xOOJAoUAJB",0,0,0,0,0,0,0,0,1,0,0,0
@GovtdontlieNOT Check out the shite that's in moderna's vaccine... Modified RNA Nanotechnology Luciferease,0,0,0,1,0,0,0,1,0,0,0,0
"@BreakingNews What's in it? Does it utilize genetic modification technology (mRNA editing, CRISPR, etc.)? How can a vaccine be made for something that hasn't been organically isolated? What are the long term side effects? Why are cures for flu and lung infections being suppressed?",0,0,0,0,0,0,0,1,1,0,0,0
FT Confirms AstraZeneca COVID-19 Vaccine Caused Serious Spinal Issues In Test Patient https://t.co/mLmoRQj9qu,0,0,0,0,0,0,0,0,1,0,0,0
"Nearly 1000 people died of #covid in #Nepal in the past 10 days. Note no authority asked this simple question of the families of the dead: ""Was your loved one vaccinated?"" I suspect infections and deaths soaring amongst both Astrazeneca and Chinese vax vaccinated.",0,0,0,0,0,0,0,0,1,0,0,0
If u fw them COVID vaccines u a jack n the box 😂😂😂,0,0,0,0,0,0,0,0,0,0,0,1
"@nicktolhurst @make_trouble And in the world we live in, it will have to be tested thoroughly before approval. A vaccine with side-effects would be an absolute boon to the anti-vaxxer movement globally. Norway rushed a vaccine for Swineflu in 2009 without proper testing with some disasterous effects.",0,0,0,0,0,0,1,0,1,0,0,0
"#BREAKING 79 cases of blood clots, 19 deaths in #UK after taking #AstraZeneca Covid vaccine: MHRA medicines regulator #BreakingNews https://t.co/XDKXUU502Z",0,0,0,0,0,0,0,0,1,0,0,0
@GOPLeader @realDonaldTrump I'm hearing your selling us out Kevin. China is progressing very nicely while America has fell to covid. You better fight or you are done. I'm not taking a vaccine for a virus with a 99.8% recovery rate for me period. I don't believe you did either.,1,0,0,0,0,0,0,0,0,0,0,0
"@grayphil27 @AlexAnicic @FatEmperor For example, Pfizer has announced a vaccine with a great success rate so far. I, Me, will not be on line for this vaccine. maybe after 3 years when more ""results"" are in. I will not be the Guinea pig in these early unknown stages.",0,0,0,0,0,0,1,0,0,0,0,0
Whilst some European countries are halting the covid vaccine of alleged blood clot .. we here encouraging people to take in the vaccine? Africa 🤦‍♂️🤦‍♂️🤦‍♂️ #AFRICANGIANT #AstraZeneca #COVID19 #coronavirus #COVAX #Ghana #COVID19Vaccine,0,0,0,0,0,0,0,0,1,0,0,0
@djhutch74 This COVID-19 vaccine necessarily worries me. I'd sooner just use good common sense protection practices.,1,0,0,0,0,0,0,0,0,0,0,0
"SHOCKING: Man’s Skin Burns, Swells, Then Peels Off In Severe Reaction To Johnson & Johnson Covid Vaccine - The True Reporter https://t.co/TJ1dfwakxW",0,0,0,0,0,0,0,0,1,0,0,0
Johnson and Johnson knowingly put asbestos in talcum power for decades is now expected to come up with a covid vaccine with only a few months of research.,0,0,1,0,0,0,1,0,0,0,0,0
"@piersmorgan @jburnmurdoch Wtf? if everybody prone to die from a virus that only has a 2 percent death rate already is vaccinated why do we need to put shit in our body that our immune system can already fight off, everyone I know under 40 that's had it has said its no different to the flu? Explain piers?",1,0,0,0,0,0,0,0,0,0,0,0
the covid-19 vaccine skipped animal trials and went directly to human testing. it’s almost like... animal trials are an unnecessary cruelty,0,0,0,0,0,0,1,0,0,0,0,0
"Bummer Cher! You are voting us right into A 2021 Socialist Nightmare, with an Immediate Nation Wide Mask & Vaccine Mandate. The ""Harris Administration w Joe Biden"" $80 BILLION Covid plan is the biggest Money Maker/Freedom Taker. It will never end for us, It makes them too much $$ https://t.co/UERxm78oSU",0,1,0,0,1,0,0,0,0,0,0,0
"@tylercowen @WhiteHouse @US_FDA @SteveFDA @pfizer You've got the misimpression of lives saved, magical powers of any vaccine. The only thing out there is so far is a company press release. The data have to be thoroughly reviewed internally FDA and externally. It is being done in a hyper-accelerated way.",0,0,0,0,0,0,1,0,0,0,0,0
@CatPurry9 That is a distinct possibility as there has never been a vaccine for the Common cold which is caused by a Corona virus. However the common cold is not a killer like Covid-19 so no great effort has been expended on creating a vaccine. There is a major effort by Pharmaceutical 1/2,1,0,0,0,0,0,0,0,0,0,0,0
"@anniecherokee @KatDelT @Miakoda15386737 Hey animal treatments, vaccines, pharmaceuticals.....all of that shit comes from the same places ours does....Novartis, Pfizer, etc. Soooo....😏",0,0,0,0,0,0,1,0,0,0,0,0
@davidrliu And unfortunately - true and justified pause over a politically pressured vaccine will lead to an overall distrust in vaccines in general.,0,0,0,0,1,0,0,0,0,0,0,0
"@SteveForgeron @LordKraken3 @coachdavidgreen @SonnieJohnson They actually had to stop the polio vaccine in Canada, as people were catching polio from it.",0,0,0,0,0,0,0,0,1,0,0,0
"@xamn_d @natehansen42 @stella_immanuel @drsanjaygupta @TuckerCarlson Would you be doing double blind placebo controlled studies while patients are dying? Like what Pfizer did with Trovan, a couple of years back,, in Nigeria. Many of those children ended up paralyzed for life",0,0,1,0,0,0,0,0,1,0,0,0
@afneil You mean the Russian vaccine which has not been fully tested and it's that good they are giving it away. lol,0,0,0,0,0,1,1,0,0,0,0,0
"@MrDiz83 @piersmorgan I'll say it again – there is NO cure, NO treatment and NO vaccine and it may be that none of these are EVER available (there is no vaccine for example for any of the other COVID variants) so the lockdown would have to be PERMANENT for this strategy to work – more people WILL die",0,0,0,0,0,0,0,0,0,1,0,0
"Read, think for yourself, and understand. Pfizer Demands Governments Gamble With State Assets To Secure Vaccine Deal https://t.co/wVPWwvlykz",0,0,1,0,0,0,0,0,0,0,0,0
"This is a disastrous turn of events - Astra Zeneca, for example, was granted immunity from prosecution for any damage caused by its hastily-developed products since July. Vaccines *must be safe & thoroughly tested* as everyone will be asked to take them. https://t.co/9ox7KUchT5",0,0,1,0,0,0,1,0,0,0,0,0
The first Covid vaccine that I definitely will not take 🏆,0,0,0,0,0,0,0,0,0,0,0,1
"""States with high vaccination rates may indicate vaccination is spawning viral mutations that turn vaccinated individuals into superspreaders. The vaccine suppresses symptoms but fails to halt transmission.""",0,0,0,0,0,0,0,0,0,1,0,0
@realDonaldTrump @US_FDA Dr Rumack reveals Covid_19 vaccine contains Dihydrogen Monoxide: designed to embed itself withing your collagen cells to reprogram your DNA. This allows the nanonbots to infiltrate your coding and give access to your brain thus allowing basic mind control and tracking. Wake up,0,0,0,1,0,0,0,1,1,0,0,0
"YOU are immune? Is the cure worse than the disease? I would rather take my chances with vitamin C, than a vaccine. ❤️99.7% of the people who get covid recover. 71% who wear masks get Covid. 100% of blood type O are immune. 9% of the people who get a vaccine get autism. https://t.co/UlbR4isV2n",1,0,0,0,0,0,0,0,1,0,0,0
"@globalnews Obviously not, since it’s not even a vaccine as admitted by Pfizer. You can still contract Covid, and transmit it, you just have a chance of reducing symptoms, and a 4% chance of severe side effects complete with unknown long term effect, since it’s a gene therapy.",0,0,0,0,0,0,0,0,1,1,0,0
💯Open Letter to Government and Vaccine Regulators re possible Covid-19 vaccine-related deaths in the elderly and Care Homes @ukmfa1 -We are asking for an urgent audit and investigation into all deaths that have occurred in these cohorts since the Covid -19 vaccine rollout began.,0,0,0,0,0,0,0,0,1,0,0,0
"@RebekahsRight @pfizer Scary ! Don't have the Virus, but die from the Vaccine. Not sure about rushed Vaccines, they usually take years to get right. https://t.co/j9sQ11p7AN",0,0,0,0,0,0,1,0,1,0,0,0
"@cathmckenna Speaking of science, vaccine producers recommend less than a month between two doses to inoculate against Covid, yet your govt is pushing for a 4-month gap. No other country in the world is contemplating that. Politics trumps science to cover for Trudeau's vax procurement fail.",0,0,0,0,1,0,0,0,0,0,0,0
"@realDonaldTrump Do not take the Covid RNA vaccine. If you do so, you'll end up like a human guinea pig for Pfizer's experimentals.",0,0,1,0,0,0,0,0,0,0,0,0
BUT WE REALLY DO NOT UNDERSTAND THE DISEASE...WE ARE STILL STUDYING IT BUT WE HAVE A VACCINE.... FROM MODERNA??? WHO IS MAKING THE MONEY?,0,0,1,0,0,0,1,0,0,0,0,0
The Danish Health Authority has suspended use of the Oxford-AstraZeneca Covid vaccine for 14 days as a precaution while an investigation into serious adverse events proceeds...1/n https://t.co/xXEXcLHPwB HT @iamPWK,0,0,0,0,0,0,0,0,1,0,0,0
@VikingPatriot4 @ReimTopher Could be a reaction to the vaccine.,0,0,0,0,0,0,0,0,1,0,0,0
"Hey, @pfizer, what’s the plan to compensate women if your vaccine candidate destroys their fertility permanently? I can’t advise any young women to take your vaccine candidate. @ScottGottliebMD @BioNTech_Group https://t.co/5YxrlHAtMc",0,0,0,0,0,0,0,0,1,0,0,0
"Oxford vaccine is not so promising. “It is crystal clear that the vaccine did not provide sterilizing immunity to the virus challenge, the gold standard for any vaccine. It may provide partial protection.” @CollignonPeter @EricTopol @jwgale @RenuSwarup https://t.co/DHGmiD9yRU",0,0,0,0,0,0,0,0,1,0,0,0
"@CabaiPanas @jesse_jett @ThiaBallerina @SocialistMMA I never took the Pfizer vaccine. You’re a crummy doctor, you can’t even get my medical history right",0,0,0,0,0,0,0,0,0,0,0,1
"@blackfemmesoul @DeeLaSheeArt The Pfizer vaccine will not confer protection on others, I get the vaccine, I suffer less, I remain contagious and at work now because ""I got a shot""... so let's not pretend current vaccine candidates are going to protect others.... we don't have that data, says Pfizer CEO.",0,0,0,0,0,0,0,0,1,0,0,0
@MichaelTGorman @nsgov @Doctors_NS Do people not realize this vaccine is only 62% effective and does not carry the COVID antibody. I am in the category but I will not be taking this one. As a compromised person it is too risky. We gave away 92% to get 62% 🤦‍♀️,0,0,0,0,0,0,0,0,0,1,0,0
" https://t.co/wIOBcEd3e4 As predicted, they insist the vaccine slowdown is due to supply problems. So its nothing to do with the fact they have burnt through the captive audience and the rest are rejecting the rushed experimental jab.",0,0,0,0,0,0,1,0,0,0,0,0
"""Novavax expects to finalize an agreement that would begin supplying the doses to Canada as early as the second quarter of 2021"" I've decided i'm not using any vaccine unless Canada is using it #FuckTrumpWarpSpeed",0,0,0,0,0,0,1,0,0,0,0,0
"💥💥Breaking news💥💥 Not Surprising though U.S. urges pause on use of Johnson & Johnson Covid-19 vaccine after rare blood clotting cases. Adenovirus related, probably",0,0,0,0,0,0,0,0,1,0,0,0
@olgakhazan @AdamSerwer No vaccine program that creates and perpetuates racism and medical apartheid is a success. Period. It's not some side issue to give a nod to on the the way to praising the system. It means the system is a failure. Y'all really think dead Black people are no big deal,0,0,0,0,0,0,0,0,1,0,0,0
"With the survival rate of ""CORONA"" close to 100% without a vaccine. What exactly will the purpose of the new vaccine be? #VotePaulTayTulsaMayor2020",1,0,0,0,0,0,0,0,0,0,0,0
@TracyZille Africans now we pray for white Jesus to stop covid 19 we don't need any more vaccine.,0,0,0,0,0,0,0,0,0,0,0,1
@DoctaDoLil @Silverknight_77 @antonnewcombe @JimBonnett @ianbrown @pfizer I have an issue with unnecessary scaremongering and forced vaccinations.,0,1,0,0,0,0,0,0,0,0,0,0
"When he takes the DNA altering Covid vaccine, he will no longer be human. Put him in the zoo. He is a total idiot.",0,0,0,0,0,0,0,0,1,0,0,0
"SO sick of the #brainwashing use of Adjectives, like, ""potentially"", geez people, Might, could, maybe, a chance, odds are, ETC. #Dumb0crats #StupidPeople #SocietyDecay Dozens of scientists and others took a DIY COVID-19 vaccine with no proof that it works  https://t.co/Og7CIAEGmu",0,0,0,0,0,0,0,0,0,1,0,0
